,V1,V2,V3,V4.1,V5,V6,BTC
2020-01-01 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2020-01-01 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9977.304355652795
2020-01-01 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9959.842972173949
2020-01-01 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10010.856244764009
2020-01-01 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10006.508207958015
2020-01-02 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9966.655819653404
2020-01-02 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9869.337339804615
2020-01-02 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9842.016713631927
2020-01-02 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9881.730629426793
2020-01-02 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9867.897225703267
2020-01-02 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9664.605734146628
2020-01-03 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9640.511517450997
2020-01-03 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9620.169905769459
2020-01-03 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9967.278945947257
2020-01-03 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10161.26508484903
2020-01-03 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10130.662660195387
2020-01-03 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10162.359017676015
2020-01-04 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10166.263942450825
2020-01-04 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10149.051809489521
2020-01-04 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10169.60112993568
2020-01-04 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10154.286070357883
2020-01-04 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10129.887214140814
