entry_time,side,equity_before,exit_time,pnl,exit_reason,equity_at_trigger
2020-01-14 08:00:00+00:00,long,10000.0,2020-01-17 08:01:00+00:00,816.4554186278983,signal,
2020-01-17 14:00:00+00:00,long,10816.455418627898,2020-01-19 11:02:00+00:00,-295.013561695956,stop_loss,10526.943042796165
2020-01-27 08:00:00+00:00,long,10521.441856931942,2020-01-30 08:00:00+00:00,842.8781158224374,signal,
2020-01-30 21:00:00+00:00,long,11364.31997275438,2020-01-31 05:48:00+00:00,-303.0070552473353,stop_loss,11063.36024026176
2020-01-31 22:00:00+00:00,long,11061.312917507044,2020-02-02 08:00:00+00:00,-60.875673823835314,signal,
2020-02-02 16:00:00+00:00,long,11000.437243683209,2020-02-03 00:00:00+00:00,-107.1512312488394,signal,
2020-02-03 04:00:00+00:00,long,10893.28601243437,2020-02-03 20:00:00+00:00,3.1868740043009893,signal,
2020-02-06 16:00:00+00:00,long,10896.47288643867,2020-02-09 16:00:00+00:00,8.951463684201372,signal,
2020-02-09 23:00:00+00:00,long,10905.424350122872,2020-02-10 05:58:00+00:00,-152.51245396344166,stop_loss,10755.286802924527
2020-02-11 16:00:00+00:00,long,10752.91189615943,2020-02-14 16:00:00+00:00,-97.41213624361626,signal,
2020-02-19 00:00:00+00:00,long,10655.499759915814,2020-02-19 21:36:00+00:00,-34.47238874682989,stop_loss,10621.258918824436
2020-04-02 20:00:00+00:00,long,10621.027371168984,2020-04-05 20:00:00+00:00,-45.63147586592822,signal,
2020-04-05 23:00:00+00:00,long,10575.395895303056,2020-04-08 23:00:00+00:00,165.8543733550432,signal,
2020-04-09 06:00:00+00:00,long,10741.2502686581,2020-04-10 04:00:00+00:00,-39.42659400425873,signal,
2020-04-12 16:00:00+00:00,long,10701.82367465384,2020-04-13 00:26:00+00:00,-10.438090509309404,stop_loss,10691.411222417466
2020-04-19 04:00:00+00:00,long,10691.385584144531,2020-04-20 11:46:00+00:00,-100.56306539556681,stop_loss,10591.91137824445
2020-04-23 00:00:00+00:00,long,10590.822518748964,2020-04-26 00:00:00+00:00,34.577284676550335,signal,
2020-04-26 07:00:00+00:00,long,10625.399803425515,2020-04-29 07:00:00+00:00,140.9885840252755,signal,
2020-04-29 10:00:00+00:00,long,10766.38838745079,2020-04-30 09:17:00+00:00,683.8328069296749,stop_loss,11457.493123006592
2020-04-30 14:00:00+00:00,long,11450.221194380465,2020-04-30 17:37:00+00:00,-133.00600232294528,stop_loss,11318.383612874035
2020-05-01 05:00:00+00:00,long,11317.21519205752,2020-05-04 05:00:00+00:00,-27.14173912975457,signal,
