timestamp,reason,side,quantity,price,notional,fee,slippage_bps,participation,realized_pnl,position_after,liquidity,limit_price,trigger_price
2020-01-14 08:00:00+00:00,signal,buy,1.162,8516.764821456787,9896.480722532786,2.3751553734078685,2.1313354239141913,0.01999874752192348,0.0,1.162,taker,,
2020-01-14 08:01:00+00:00,signal,buy,0.836,8523.11607693098,7125.325040314299,1.7100780096754318,2.131220507412073,0.01999468494358795,0.0,1.9979999999999998,taker,,
2020-01-14 08:02:00+00:00,signal,buy,0.41000000000000003,8521.133130776614,3493.664583618412,0.8384795000684189,1.5177876305353497,0.00418912547399081,0.0,2.408,taker,,
2020-01-15 04:00:00+00:00,signal,sell,0.747,8728.742922925483,6520.3709634253355,1.5648890312220805,1.531574824649487,0.004415184284392702,156.14490494953634,1.661,taker,,
2020-01-17 08:00:00+00:00,signal,sell,1.534,8942.083837740993,13717.156607094683,3.2921175857027234,2.1312213665348048,0.019994715314138607,647.915946181863,0.127,taker,,
2020-01-17 08:01:00+00:00,signal,sell,0.127,8952.114479689886,1136.9185389206154,0.27286044934094766,1.268277229065842,0.0011245729943007224,54.91491184373932,0.0,taker,,
2020-01-17 14:00:00+00:00,signal,buy,0.483,8862.41762765384,4280.547714156804,1.027331451397633,2.1303778146898735,0.01996490631161022,0.0,0.483,taker,,
2020-01-17 14:01:00+00:00,signal,buy,0.722,8861.077852200355,6397.698209288656,1.5354475702292771,2.130953507436125,0.019985247437219904,0.0,1.205,taker,,
2020-01-17 14:02:00+00:00,signal,buy,0.48,8856.830992167465,4251.2788762403825,1.0203069302976917,1.7063100683693433,0.00779490488562354,0.0,1.685,taker,,
2020-01-17 20:00:00+00:00,signal,sell,1.163,8883.5517536721,10331.570689520653,2.4795769654849567,1.7200141449495399,0.008100318264490888,27.09748950009818,0.522,taker,,
2020-01-18 00:00:00+00:00,signal,buy,1.2550000000000001,8920.174849985517,11194.819436731825,2.6867566648156376,1.6200176320125756,0.006006591625101276,0.0,1.7770000000000001,taker,,
2020-01-19 11:02:00+00:00,stop_loss,sell,1.7770000000000001,8744.149979017551,15538.35451271419,3.729205083051405,1.140261491381402,,-281.5165236829225,0.0,taker,,8745.147154471222
2020-01-27 08:00:00+00:00,signal,buy,0.503,8657.571309412786,4354.758368634632,1.0451420084723115,1.7112916025450153,0.007905245997672752,0.0,0.503,taker,,
2020-01-27 12:00:00+00:00,signal,buy,1.919,8738.606406787174,16769.385694624587,4.024652566709901,1.5638883528142946,0.0049682824131190365,0.0,2.422,taker,,
2020-01-28 04:00:00+00:00,signal,buy,0.6980000000000001,9126.15746411349,6370.057909951217,1.528813898388292,1.7836141844998248,0.00959454984608321,0.0,3.12,taker,,
2020-01-28 08:00:00+00:00,signal,sell,0.861,9046.351473138087,7788.908618371893,1.8693380684092542,1.8440795465890298,0.011132348140155344,201.5663430724738,2.2590000000000003,taker,,
2020-01-28 12:00:00+00:00,signal,sell,1.588,9087.669522528542,14431.219201775326,3.463492608426078,1.9038412562518667,0.012764515882858637,437.3753769489856,0.6710000000000003,taker,,
2020-01-28 16:00:00+00:00,signal,buy,1.467,9031.577872834374,13249.324739448028,3.1798379374675263,1.7473674799272252,0.008727471094574555,0.0,2.1380000000000003,taker,,
2020-01-28 20:00:00+00:00,signal,sell,1.502,9017.15924927524,13543.773192411412,3.2505055661787385,1.3979729539746164,0.002474726126488782,81.73596134306429,0.6360000000000003,taker,,
2020-01-29 00:00:00+00:00,signal,buy,1.956,9401.088742536278,18388.52958040096,4.41324709929623,1.4561524559011716,0.0032511728597604725,0.0,2.5920000000000005,taker,,
2020-01-29 04:00:00+00:00,signal,sell,1.826,9358.005596207271,17087.71821867448,4.101052372481875,1.9064570815477169,0.012838506885750067,117.7301830394176,0.7660000000000005,taker,,
2020-01-30 08:00:00+00:00,signal,sell,0.766,9396.396561036836,7197.639765754217,1.7274335437810118,1.6742328004487728,0.007102966706265541,78.79483952395591,0.0,taker,,
2020-01-30 21:00:00+00:00,signal,buy,0.752,9586.204634683634,7208.825885282093,1.7301182124677021,1.6950504702690021,0.0075483618159556416,0.0,0.752,taker,,
2020-01-31 00:00:00+00:00,signal,buy,1.7890000000000001,9527.580869145377,17044.84217490108,4.090762121976259,2.0060207264968852,0.015813714095958133,0.0,2.5410000000000004,taker,,
2020-01-31 04:00:00+00:00,signal,sell,1.974,9453.312983123336,18660.839828685464,4.478601558884511,1.964022726894109,0.01452093465575553,-180.85271393617313,0.5670000000000004,taker,,
2020-01-31 05:48:00+00:00,stop_loss,sell,0.5670000000000004,9356.658678648419,5305.225470793657,1.2732541129904775,1.4588554634658384,,-106.75004676788139,0.0,taker,,9358.02387907474
2020-01-31 22:00:00+00:00,signal,buy,0.5670000000000001,9377.890471761088,5317.263897488538,1.276143335397249,2.080294627616989,0.018234945038408265,0.0,0.5670000000000001,taker,,
